ticker,name,ipo_date,ipo_price,shares_offered,offering_size,exchange,underwriter,sector,industry,d1_open,d1_high,d1_low,d1_close,d1_volume,d2_open,d2_high,d2_close,d2_volume,d5_close,ret_d1,ret_d5,is_spac,is_biotech,bookrunner,all_underwriters,d1_open_ret,d1_close_ret,d1_high_ret,d1_intraday_range,d2_close_ret,d5_close_ret,price_tier,is_high_price,size_tier,is_large_offering,is_hot_sector,is_ai,is_fintech,is_ev_clean,has_top_underwriter,ipo_year,ipo_month,ipo_quarter,ipo_weekday,d1_pop,d2_pop,any_d1d2_pop
BSBK,BOGOTA FINANCIAL CORP,2020-01-16,10.0,5657700,57000000.0,NASDAQ CM,Sandler O'Neill & Partners,Financials,Depository Institutions,11.399999618530273,11.970000267028809,11.350000381469727,11.59000015258789,1142059,11.59000015258789,11.699999809265137,11.630000114440918,215460,11.679800033569336,1.6699999570846558,2.450000047683716,0,False,Sandler O'Neill & Partners,,13.999996185302743,15.900001525878915,19.700002670288086,5.438595669348053,16.300001144409173,16.798000335693363,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,1,1,3,False,False,False
DNK,Phoenix Tree Holdings Ltd,2020-01-17,13.5,0,0.0,NYSE,,Real Estate,Real Estate Management & Devel,13.5,13.699999809265137,13.0,13.5,2014106,13.149999618530273,13.5,13.5,471940,13.25,0.0,-1.850000023841858,0,False,,,0.0,0.0,1.4814800686306473,5.185183772334346,0.0,-1.851851851851849,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,1,1,4,False,False,False
IMAB,I-MAB-SPONSORED ADR,2020-01-17,14.0,7407400,104000000.0,NASDAQ GM,"JEF,CICCHK",Health Care,Pharmaceuticals,14.75,15.789999961853027,12.25,12.5,3830849,12.5,13.949999809265137,13.800000190734863,1043066,14.0,-15.25,-5.079999923706055,0,False,"JEF,CICCHK",,5.35714285714286,-10.71428571428571,12.785714013235916,23.999999741376456,-1.4285700661795464,0.0,low_under_15,False,mid_100M_500M,False,False,False,False,False,False,2020,1,1,4,False,False,False
VEL,VELOCITY FINANCIAL INC,2020-01-17,13.0,7250000,94000000.0,New York,"WFS,CITI,JMP",Financials,Finance NEC,13.850000381469727,14.25,13.399999618530273,13.510000228881836,3438454,13.520000457763672,14.25,14.109999656677246,351987,13.640000343322754,-2.450000047683716,-1.5199999809265137,0,False,"WFS,CITI,JMP",,6.538464472844052,3.923078683706427,9.615384615384626,6.137186700781352,8.538458897517277,4.923079564021182,low_under_15,False,small_under_100M,False,False,False,False,False,True,2020,1,1,4,False,False,False
GHIVU,UWM Holdings Corporation,2020-01-24,10.0,0,0.0,NASDAQ,,,,10.520000457763672,10.720000267028809,10.40999984741211,10.449999809265137,5216201,10.319999694824219,10.65999984741211,10.489999771118164,758230,10.489999771118164,-0.6700000166893005,-0.28999999165534973,1,False,,,5.200004577636719,4.499998092651358,7.200002670288086,2.946771921363573,4.899997711181636,4.899997711181636,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,1,1,4,False,False,False
ANVS,ANNOVIS BIO,2020-01-29,6.0,2000000,12000000.0,New York,ThinkEquity LLC,Health Care,Pharmaceuticals,6.630000114440918,10.609999656677246,6.510000228881836,9.59000015258789,3388157,9.0,9.399999618530273,7.010000228881836,938808,6.119999885559082,44.650001525878906,-7.690000057220459,0,False,ThinkEquity LLC,,10.500001907348633,59.833335876464844,76.83332761128743,61.84011096568657,16.83333714803059,1.9999980926513672,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,1,1,2,True,False,True
BDTX,BLACK DIAMOND THERAPEUTICS I,2020-01-30,19.0,10586300,201000000.0,NASDAQ GS,"JPM,US,JEF",Health Care,Biotechnology,33.0,40.0,32.29999923706055,39.47999954223633,5369675,37.040000915527344,37.95500183105469,37.5,550223,37.880001068115234,19.639999389648438,14.789999961853027,0,True,"JPM,US,JEF",,73.6842105263158,107.78947127492806,110.52631578947367,23.33333564527107,97.36842105263158,99.36842667429072,mid_15_30,False,mid_100M_500M,False,False,False,False,False,False,2020,1,1,3,True,True,True
ARQT,ARCUTIS BIOTHERAPEUTICS INC,2020-01-31,17.0,9375000,159000000.0,NASDAQ GS,"GS,US,GUGG",Health Care,Pharmaceuticals,23.049999237060547,24.399999618530273,19.31999969482422,21.799999237060547,2931670,21.15999984741211,25.81999969482422,25.1299991607666,712540,24.739999771118164,-5.420000076293945,7.329999923706055,0,True,"GS,US,GUGG",,35.58823080623852,28.235289629767912,43.529409520766315,22.03904595162964,47.823524475097656,45.52941041834213,mid_15_30,False,mid_100M_500M,False,False,False,False,False,False,2020,1,1,4,True,True,True
ONEM,1life Healthcare Inc,2020-01-31,14.0,0,0.0,NASDAQ,,Health Care,Health Services,18.0,22.950000762939453,17.520000457763672,22.06999969482422,8294593,22.510000228881836,25.209999084472656,22.799999237060547,3764727,25.0,22.610000610351562,38.88999938964844,0,False,,,28.57142857142858,57.642854963030146,63.928576878138955,30.166668362087673,62.85713740757532,78.57142857142858,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,1,1,4,True,True,True
REYN,REYNOLDS CONSUMER PRODUCTS I,2020-01-31,26.0,47170000,1226000000.0,NASDAQ GS,JOINT LEADS,Materials,Converted Paper,27.5,29.459999084472656,27.100000381469727,28.549999237060547,26201795,28.200000762939453,30.0,29.610000610351562,3814698,31.15999984741211,3.819999933242798,13.3100004196167,0,False,JOINT LEADS,,5.769230769230771,9.807689373309803,13.307688786433292,8.5818134654652,13.884617732121395,19.846153259277344,mid_15_30,False,mega_1B_plus,True,False,False,False,False,False,2020,1,1,4,False,False,False
